source_file,label,tempo_ratio,T_backswing_s,T_downswing_s,T_total_s,omega_peak,omega_mean,omega_std,omega_skew,omega_at_top,omega_rise_rate,transition_dip_ratio,acc_peak,acc_mean,acc_std,acc_jerk_max,yaw_range,pitch_range,roll_range,yaw_at_top
swing_capture_20260309_080815.csv,1,14.4714,1.013,0.07,2.049,1541.7201,330.4945,326.2154,1.8657,802.8739,727.9995,0.5208,3.4477,1.7285,0.8061,18.9628,4.35,7.58,6.83,307.14
swing_capture_20260309_080815.csv,1,1.4544,0.957,0.658,1.923,210.1913,100.4449,38.3813,0.4696,149.1611,92.8286,0.7096,1.3209,0.992,0.1362,5.0373,1.84,8.61,10.05,308.04
swing_capture_20260309_080815.csv,1,6.0,0.084,0.014,0.476,92.5788,66.3496,17.5,-0.2806,92.5788,371.9576,1.0219,0.9939,0.9384,0.0206,2.5719,0.72,2.77,0.52,306.29
swing_capture_20260309_080815.csv,1,9.3393,0.523,0.056,1.069,205.4562,77.1317,40.5977,1.772,152.4073,161.5675,0.7418,1.2626,0.9707,0.105,4.4752,0.6,2.28,3.23,305.76
swing_capture_20260309_080857.csv,1,24.7857,1.041,0.042,2.091,1512.7785,323.2888,357.4689,1.7952,1151.3664,1044.6407,0.7611,3.4196,1.7258,0.8087,16.6285,4.92,8.07,5.12,298.72
swing_capture_20260309_080857.csv,1,15.0,0.21,0.014,1.218,141.6109,106.7269,24.4689,-1.0151,141.6109,345.328,1.0091,1.1151,0.9934,0.0827,3.3012,1.7,2.72,5.59,303.79
swing_capture_20260309_080857.csv,1,32.0,0.448,0.014,1.363,107.6278,61.5638,22.9509,0.2083,107.6278,102.4909,1.0374,1.0298,0.9823,0.0217,1.0719,2.16,12.03,5.62,304.18
swing_capture_20260309_080857.csv,1,2.0,0.028,0.014,0.518,87.5749,48.645,15.092,1.0362,87.5749,769.8272,1.0149,1.0138,0.957,0.0357,3.1155,0.61,2.48,2.2,306.12
swing_capture_20260309_080857.csv,1,22.0,0.308,0.014,0.63,150.1458,86.8959,35.9322,0.3602,141.9523,246.741,0.9454,1.1357,1.0014,0.0588,3.3561,1.59,1.98,1.82,305.59
swing_capture_20260318_073309.csv,1,12.2105,0.232,0.019,2.654,782.3698,305.7945,232.2369,0.8734,782.3698,3104.3757,1.0085,3.2974,1.5645,0.766,16.4268,5.35,6.5,9.21,233.18
swing_capture_20260318_073309.csv,1,14.0526,0.267,0.019,1.881,229.4778,114.8232,61.6585,0.3076,229.4778,561.3003,1.0239,1.4112,1.0764,0.1729,3.694,11.53,12.54,17.09,233.02
swing_capture_20260318_073346.csv,1,1.0399,0.6,0.577,1.907,1056.446,344.2629,295.8049,1.3036,314.1218,391.7843,0.2973,2.8611,1.659,0.5893,17.0782,4.87,9.84,5.35,218.38
swing_capture_20260318_073723.csv,1,0.6,0.498,0.83,1.886,994.9327,300.7142,255.9796,1.5044,294.9918,440.111,0.2965,3.1241,1.6955,0.7039,14.1694,6.47,10.67,7.29,223.06
swing_capture_20260318_073747.csv,1,11.0521,1.061,0.096,1.833,1193.4512,386.6323,338.1858,1.0924,919.2794,785.1536,0.7703,3.3023,1.8531,0.8604,16.6976,7.09,9.67,7.39,216.22
swing_capture_20260318_073846.csv,1,5.0564,1.345,0.266,2.186,1093.8781,298.8211,300.1225,1.4076,316.5482,185.2443,0.2894,3.1444,1.6427,0.7478,13.9811,7.51,13.44,8.22,223.71
swing_capture_20260318_073917.csv,1,31.7368,1.206,0.038,1.902,862.033,307.3526,253.4646,1.0082,803.0452,605.5623,0.9316,2.9457,1.7737,0.6444,22.9915,6.07,10.53,7.64,211.72
swing_capture_20260318_074601.csv,0,9.6562,0.927,0.096,1.85,737.6926,322.5239,188.6112,0.6398,325.8272,277.8548,0.4417,3.163,1.6102,0.6736,15.5348,6.27,9.92,6.81,214.35
swing_capture_20260318_074630.csv,0,20.2807,1.156,0.057,1.808,1126.8946,389.1303,366.3109,0.847,1043.1189,840.0334,0.9257,3.3649,1.8789,0.8724,21.2127,6.34,10.54,5.79,226.23
swing_capture_20260318_074710.csv,0,33.55,0.671,0.02,1.582,1233.2589,414.3188,344.088,0.7421,1233.2589,1742.0409,1.0349,3.2062,2.0598,0.7516,11.1674,5.87,3.88,6.95,222.79
swing_capture_20260318_074734.csv,0,19.8246,1.13,0.057,1.765,815.7356,312.281,247.4762,0.6849,815.7356,663.0948,1.0081,2.862,1.9063,0.6477,10.2856,4.22,8.19,4.39,220.12
swing_capture_20260318_074805.csv,0,8.5526,0.65,0.076,1.612,1194.722,432.1742,320.3019,0.6745,778.3341,1092.0319,0.6515,3.1224,2.1047,0.7228,13.0846,7.15,7.07,7.39,206.86
