t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1131714.0,-0.9048,0.4134,-0.2535,-8.6817,-11.4351,-4.3334,244.29,29.26,169.07
1131733.0,-0.8541,0.4095,-0.2418,-4.9948,-11.1569,-0.0203,244.25,29.4,168.98
1131752.0,-0.8229,0.4641,-0.2613,-1.0296,-6.4264,1.7884,244.19,29.53,168.86
1131772.0,-0.8619,0.4446,-0.2847,-0.5426,-7.1221,4.084,244.14,29.67,168.75
1131791.0,-0.8463,0.4836,-0.2886,-6.1078,-7.8177,8.8145,244.08,29.8,168.63
1131810.0,-0.8502,0.4992,-0.2847,-8.2643,-7.8177,8.6753,244.03,29.94,168.51
1131829.0,-0.8775,0.4875,-0.3237,-7.0817,-8.1656,9.371,243.97,30.07,168.39
1131848.0,-0.858,0.4485,-0.2886,-4.0209,-14.7047,15.9797,243.91,30.21,168.28
1131867.0,-0.9126,0.4095,-0.2847,8.3617,-21.3134,18.484,243.86,30.36,168.18
1131886.0,-0.8775,0.4602,-0.2106,22.9009,-29.7308,17.4406,243.81,30.49,168.08
1131905.0,-0.897,0.4953,-0.1872,24.2922,-32.4438,20.7797,243.75,30.63,167.98
1131924.0,-0.9126,0.5265,-0.1989,25.9617,-34.6699,22.0319,243.69,30.76,167.88
1131943.0,-0.9126,0.6084,-0.2145,23.8052,-34.2525,22.3101,243.62,30.88,167.76
1131962.0,-0.8931,0.6279,-0.1872,14.4835,-32.4438,25.5797,243.55,31.0,167.63
1131982.0,-0.8814,0.7098,-0.1833,11.7704,-26.5308,21.7536,243.47,31.11,167.49
1132001.0,-0.8463,0.702,-0.2223,2.0313,-19.6438,14.3101,243.39,31.21,167.35
1132020.0,-0.7956,0.6786,-0.234,-8.473,-11.5047,15.4232,243.32,31.31,167.2
1132039.0,-0.7137,0.6747,-0.1833,-16.6122,-7.0525,6.6579,243.24,31.4,167.04
1132058.0,-0.6903,0.663,-0.1599,-11.1165,2.4083,1.371,243.17,31.49,166.89
1132077.0,-0.6825,0.6513,-0.1443,-0.6817,3.2431,-10.0377,243.1,31.57,166.75
1132096.0,-0.6435,0.7527,-0.1365,16.0139,-4.3395,-19.7073,243.04,31.64,166.6
1132115.0,-0.5811,0.858,-0.0936,20.1183,-11.0873,-22.7681,242.97,31.7,166.46
1132134.0,-0.6084,0.8931,-0.0897,5.9965,-10.7395,-11.4986,242.89,31.76,166.31
1132153.0,-0.6357,0.9009,-0.0546,-4.5078,-13.1743,-0.0203,242.82,31.82,166.15
1132172.0,-0.6786,0.8541,-0.0429,-10.4209,-12.5482,0.9536,242.74,31.89,166.0
1132192.0,-0.6981,0.8229,-0.0468,-14.7339,-7.8177,-0.716,242.67,31.96,165.85
1132211.0,-0.7254,0.8346,-0.0897,-17.5861,-3.5047,-2.5942,242.6,32.03,165.69
1132230.0,-0.7449,0.8073,-0.117,-21.5513,-1.9047,-3.3594,242.53,32.11,165.54
1132249.0,-0.7371,0.7488,-0.1755,-22.247,-2.6699,-0.3681,242.45,32.19,165.38
1132268.0,-0.7371,0.7371,-0.1677,-18.56,-4.8264,-0.2986,242.38,32.27,165.22
1132292.0,-0.7566,0.7527,-0.0975,-12.2296,-0.0264,-4.1942,242.29,32.37,165.03
1132311.0,-0.7566,0.8229,-0.0351,-7.5687,6.0257,-7.5334,242.22,32.44,164.89
