t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
567467.0,-0.8853,0.5616,-0.0546,3.7704,3.3823,-0.9247,223.13,55.51,114.99
567486.0,-0.8892,0.5538,-0.0546,2.6574,4.7736,0.7449,222.96,55.56,114.66
567505.0,-0.8814,0.5187,-0.0273,4.8139,5.5388,1.1623,222.8,55.64,114.36
567524.0,-0.8853,0.5499,-0.0273,6.6922,5.6083,0.9536,222.62,55.69,114.04
567544.0,-0.8658,0.5655,0.0039,6.7617,5.6083,1.1623,222.42,55.73,113.7
567563.0,-0.8736,0.5577,0.0039,4.0487,8.1823,1.6493,222.22,55.77,113.37
567582.0,-0.8658,0.5382,0.0078,3.0052,9.9214,0.4666,222.04,55.82,113.05
567601.0,-0.8658,0.5187,0.0,2.6574,9.0866,2.4145,221.86,55.89,112.74
567620.0,-0.8697,0.5148,-0.0039,3.7009,8.8779,4.2927,221.69,55.96,112.42
567639.0,-0.8658,0.5382,-0.0078,5.5791,9.2257,4.9188,221.51,56.01,112.1
567658.0,-0.8814,0.5382,-0.039,6.4139,10.0605,5.1971,221.35,56.07,111.78
567677.0,-0.9048,0.5421,-0.0741,8.7096,7.2779,5.8927,221.23,56.13,111.5
567696.0,-0.8892,0.5304,-0.0741,10.9357,1.6431,6.6579,221.12,56.19,111.21
567716.0,-0.8853,0.5811,-0.0585,12.327,-1.2786,8.7449,220.96,56.19,110.87
567735.0,-0.858,0.6162,-0.0351,11.2835,1.0866,9.3014,220.77,56.16,110.53
567754.0,-0.8424,0.6318,-0.0078,9.8922,8.5301,10.0666,220.57,56.11,110.19
567773.0,-0.8385,0.6006,0.0195,7.2487,12.0083,8.7449,220.36,56.09,109.85
567792.0,-0.8619,0.5928,-0.0195,4.7443,15.904,9.2319,220.18,56.08,109.51
567811.0,-0.9009,0.6084,-0.0624,2.1009,15.6257,11.2493,220.05,56.06,109.21
567830.0,-0.8853,0.5733,-0.0234,1.1965,13.3997,8.8145,219.88,56.09,108.87
567849.0,-0.8697,0.5421,-0.0039,2.3096,12.217,6.8666,219.71,56.13,108.55
567868.0,-0.8697,0.5148,-0.0156,2.0313,11.7997,10.2753,219.56,56.21,108.24
567887.0,-0.8775,0.5109,-0.0468,6.6226,10.7562,10.3449,219.46,56.29,107.97
567906.0,-0.8697,0.546,-0.0195,13.7878,4.9823,5.8927,219.29,56.33,107.65
567925.0,-0.8268,0.6045,0.0039,12.1183,2.0605,7.771,219.09,56.28,107.3
567944.0,-0.8112,0.5811,0.0039,8.153,2.4779,12.2927,218.89,56.25,106.96
567964.0,-0.8229,0.5733,-0.0234,6.1357,1.1562,7.7014,218.72,56.22,106.62
567983.0,-0.7722,0.663,0.0,11.0052,0.8779,-1.3421,218.54,56.1,106.31
568002.0,-0.7878,0.6864,0.0078,6.2052,8.9475,-5.2377,218.37,55.99,106.01
568021.0,-0.8229,0.6669,-0.0078,0.5009,14.9997,-15.7421,218.2,55.9,105.71
568041.0,-0.8307,0.6552,-0.0312,-9.5861,18.5475,-15.3942,218.07,55.8,105.41
568060.0,-0.8151,0.6162,-0.039,-18.9774,19.104,-9.2029,217.95,55.72,105.13
568079.0,-0.8892,0.5031,-0.0897,-23.5687,17.8518,-2.3855,218.01,55.82,105.05
568099.0,-0.9048,0.5031,-0.078,-15.2904,9.0866,2.7623,218.04,55.94,104.94
568118.0,-0.8814,0.5538,-0.0507,-10.7687,1.7823,7.8406,217.96,55.98,104.69
568137.0,-0.8619,0.5694,-0.0585,-8.0557,-1.7656,11.2493,217.9,55.98,104.46
